sinp                   lambda3  tanbeta  sinbma       widthA        MA            widthH        MH            FracWA    FracWH
0.2                    8        5        0.99995      1.169464e+02  7.000000e+02  2.173119e+00  2.600000e+02  0.167066  0.00835815
0.2                    8        5        0.9949874    1.122566e+02  7.000000e+02  9.485367e+00  2.600000e+02  0.160367  0.0364822
0.2                    8        5        0.979795897  1.088466e+02  7.000000e+02  4.274808e+01  2.600000e+02  0.155495  0.164416
0.2                    8        6        0.99995      1.393015e+02  7.000000e+02  3.146896e+00  2.600000e+02  0.199002  0.0121034
0.2                    8        6        0.9949874    1.304675e+02  7.000000e+02  1.090549e+01  2.600000e+02  0.186382  0.0419442
0.2                    8        6        0.979795897  1.233010e+02  7.000000e+02  4.840012e+01  2.600000e+02  0.176144  0.186154
0.2                    8        8        0.99995      1.965061e+02  7.000000e+02  5.613008e+00  2.600000e+02  0.280723  0.0215885
0.2                    8        8        0.9949874    1.740407e+02  7.000000e+02  1.402205e+01  2.600000e+02  0.24863   0.053931
0.2                    8        8        0.979795897  1.546724e+02  7.000000e+02  5.906822e+01  2.600000e+02  0.220961  0.227185
0.3                    2        1        0.99995      1.489805e+02  7.000000e+02  3.436813e-01  2.600000e+02  0.212829  0.00132185
0.3                    2        1        0.9949874    1.491348e+02  7.000000e+02  1.679995e+01  2.600000e+02  0.21305   0.0646152
0.3                    2        1        0.979795897  1.496297e+02  7.000000e+02  6.133355e+01  2.600000e+02  0.213757  0.235898
0.3                    2        2        0.99995      1.544062e+02  7.000000e+02  4.234768e+00  2.600000e+02  0.22058   0.0162876
0.3                    2        2        0.9949874    1.549191e+02  7.000000e+02  2.313133e+01  2.600000e+02  0.221313  0.0889667
0.3                    2        2        0.979795897  1.565598e+02  7.000000e+02  9.080963e+01  2.600000e+02  0.223657  0.349268
0.3                    2        3        0.99995      2.347394e+02  7.000000e+02  1.278602e+01  2.600000e+02  0.335342  0.049177
0.3                    2        3        0.9949874    2.328210e+02  7.000000e+02  3.346033e+01  2.600000e+02  0.332601  0.128694
0.3                    2        3        0.979795897  2.327067e+02  7.000000e+02  1.212304e+02  2.600000e+02  0.332438  0.466271
0.3                    2        4        0.99995      3.541546e+02  7.000000e+02  2.502907e+01  2.600000e+02  0.505935  0.0962657
0.3                    2        4        0.9949874    3.460118e+02  7.000000e+02  4.705270e+01  2.600000e+02  0.494303  0.180972
0.3                    2        4        0.979795897  3.404893e+02  7.000000e+02  1.546350e+02  2.600000e+02  0.486413  0.59475
0.3                    2        5        0.99995      5.093106e+02  7.000000e+02  4.083035e+01  2.600000e+02  0.727587  0.15704
0.3                    2        5        0.9949874    4.899335e+02  7.000000e+02  6.372022e+01  2.600000e+02  0.699905  0.245078
0.3                    2        5        0.979795897  4.741323e+02  7.000000e+02  1.911939e+02  2.600000e+02  0.677332  0.735361
0.3                    2        6        0.99995      6.992728e+02  7.000000e+02  6.014539e+01  2.600000e+02  0.998961  0.231328
0.3                    2        6        0.9949874    6.624315e+02  7.000000e+02  8.331422e+01  2.600000e+02  0.946331  0.320439
0.3                    2        6        0.979795897  6.303042e+02  7.000000e+02  2.306959e+02  2.600000e+02  0.900435  0.887292
0.3                    2        8        0.99995      1.182108e+03  7.000000e+02  1.092220e+02  2.600000e+02  1.68873   0.420085
0.3                    2        8        0.9949874    1.086832e+03  7.000000e+02  1.307150e+02  2.600000e+02  1.55262   0.50275
0.3                    2        8        0.979795897  9.994676e+02  7.000000e+02  3.172124e+02  2.600000e+02  1.42781   1.22005
0.3                    3        1        0.99995      1.324518e+02  7.000000e+02  3.182938e-01  2.600000e+02  0.189217  0.00122421
0.3                    3        1        0.9949874    1.325981e+02  7.000000e+02  1.433185e+01  2.600000e+02  0.189426  0.0551225
0.3                    3        1        0.979795897  1.334559e+02  7.000000e+02  5.229650e+01  2.600000e+02  0.190651  0.20114
0.3                    3        2        0.99995      1.390588e+02  7.000000e+02  3.595054e+00  2.600000e+02  0.198655  0.0138271
0.3                    3        2        0.9949874    1.394723e+02  7.000000e+02  1.965758e+01  2.600000e+02  0.199246  0.0756061
0.3                    3        2        0.979795897  1.409579e+02  7.000000e+02  7.710257e+01  2.600000e+02  0.201368  0.296548
0.3                    3        3        0.99995      2.060178e+02  7.000000e+02  1.079783e+01  2.600000e+02  0.294311  0.0415301
0.3                    3        3        0.9949874    2.041327e+02  7.000000e+02  2.832808e+01  2.600000e+02  0.291618  0.108954
0.3                    3        3        0.979795897  2.039213e+02  7.000000e+02  1.025684e+02  2.600000e+02  0.291316  0.394494
0.3                    3        4        0.99995      3.063372e+02  7.000000e+02  2.110845e+01  2.600000e+02  0.437625  0.0811863
