MHs   MDM   MZp   BR(Hs->hh)    Xsec
400   400   1250  2.979283e-01  0.0019955514140143826
400   400   1500  2.982041e-01  0.001814225580006705
400   400   1750  2.984010e-01  0.0015666269900030713
400   400   2000  2.985487e-01  0.0012288146090014003
400   400   2500  2.987555e-01  0.0006376621970003143
400   400   3000  2.988933e-01  0.00029429079300007815
400   400   3500  2.989917e-01  0.00012970421920002173
400   400   4000  2.990656e-01  5.56787079000072e-05
400   400   4500  2.991230e-01  2.3447129720002895e-05
400   400   5000  2.991689e-01  9.690469320001387e-06
400   500   900   2.972848e-01  2.8609627701133293e-05
400   500   1000  2.975146e-01  8.298046600152771e-05
400   500   1250  2.979283e-01  0.0010047124972615473
400   500   1500  2.982041e-01  0.0010662480550048886
400   500   1750  2.984010e-01  0.0009761764600024849
400   500   2000  2.985487e-01  0.0008355159470012049
400   500   2500  2.987555e-01  0.0004948363470002805
400   500   3000  2.988933e-01  0.00024707868530007024
400   500   3500  2.989917e-01  0.00011406458930001856
400   500   4000  2.990656e-01  5.03029531000056e-05
400   500   4500  2.991230e-01  2.1546404310001975e-05
400   500   5000  2.991689e-01  8.980153340000937e-06
400   600   1250  2.979283e-01  0.00014288585000123662
400   600   1500  2.982041e-01  0.0005707324503327777
400   600   1750  2.984010e-01  0.0005918222600017977
400   600   2000  2.985487e-01  0.0005399064890009782
400   600   2500  2.987555e-01  0.0003661854010002461
400   600   3000  2.988933e-01  0.0001994808402000613
400   600   3500  2.989917e-01  9.694821970001605e-05
400   600   4000  2.990656e-01  4.4165145800004585e-05
400   600   4500  2.991230e-01  1.943463018000145e-05
400   600   5000  2.991689e-01  8.245610830000606e-06
400   700   1250  2.979283e-01  8.926802700160198e-06
400   700   1500  2.982041e-01  0.00014103459600073269
400   700   1750  2.984010e-01  0.0003311910001010893
400   700   2000  2.985487e-01  0.00033661262900072365
400   700   2500  2.987555e-01  0.00025916511850021046
400   700   3000  2.988933e-01  0.00015614803250005424
400   700   3500  2.989917e-01  8.10127553000143e-05
400   700   4000  2.990656e-01  3.84878891800038e-05
400   700   4500  2.991230e-01  1.7226952210001147e-05
400   700   5000  2.991689e-01  7.460487910000429e-06
400   800   1500  2.982041e-01  7.10292680006804e-06
400   800   1750  2.984010e-01  0.00011104059277671325
400   800   2000  2.985487e-01  0.00019542432720045865
400   800   2500  2.987555e-01  0.00017521998380017298
400   800   3000  2.988933e-01  0.00011811886190004809
400   800   3500  2.989917e-01  6.555110976001267e-05
400   800   4000  2.990656e-01  3.270755153000336e-05
400   800   4500  2.991230e-01  1.5185427370000953e-05
400   800   5000  2.991689e-01  6.727991060000306e-06
400   900   1750  2.984010e-01  6.31676360003475e-06
400   900   2000  2.985487e-01  7.958376518519145e-05
400   900   2500  2.987555e-01  0.00011561523150013
400   900   3000  2.988933e-01  8.62934155000408e-05
400   900   3500  2.989917e-01  5.160981786001113e-05
400   900   4000  2.990656e-01  2.718050130000296e-05
400   900   4500  2.991230e-01  1.3136710580000786e-05
400   900   5000  2.991689e-01  5.93073744200023e-06
400   1000  2000  2.985487e-01  6.917106600023008e-06
400   1000  2500  2.987555e-01  7.140227110008825e-05
400   1000  3000  2.988933e-01  6.0768972900033754e-05
400   1000  3500  2.989917e-01  3.978170776000962e-05
400   1000  4000  2.990656e-01  2.2225403820002632e-05
400   1000  4500  2.991230e-01  1.1163045865000706e-05
400   1000  5000  2.991689e-01  5.198691817000189e-06
500   300   500   2.585880e-01  3.94606590099571e-05
500   300   600   2.592237e-01  0.0001215635230102519
500   300   700   2.596777e-01  0.0011527739340455128
500   300   800   2.600182e-01  0.0018019532820498353
500   300   900   2.602830e-01  0.001972363223041013
500   300   1000  2.604949e-01  0.00192046873307025
500   300   1250  2.608762e-01  0.0015601377400126656
500   300   1500  2.611304e-01  0.0014262835700053044
500   300   1750  2.613120e-01  0.0012074736000023283
500   300   2000  2.614482e-01  0.0009298635670010471
500   300   2500  2.616388e-01  0.00046756144100023483
500   300   3000  2.617659e-01  0.00021494230040006008
500   300   3500  2.618567e-01  9.445483070001793e-05
500   300   4000  2.619248e-01  4.0748880420006604e-05
500   300   4500  2.619778e-01  1.7292444250002992e-05
500   300   5000  2.620201e-01  7.160846138001722e-06
500   400   700   2.596777e-01  2.3195609062372403e-05
500   400   800   2.600182e-01  7.041467900287241e-05
500   400   900   2.602830e-01  0.0005344628820114701
500   400   1000  2.604949e-01  0.0008896277340143529
500   400   1250  2.608762e-01  0.0010033035934090171
500   400   1500  2.611304e-01  0.0008544761270042567
500   400   1750  2.613120e-01  0.0007752251400019594
500   400   2000  2.614482e-01  0.0006540238740009119
500   400   2500  2.616388e-01  0.00037409702900020794
500   400   3000  2.617659e-01  0.00018382448560005146
500   400   3500  2.618567e-01  8.413497390001453e-05
500   400   4000  2.619248e-01  3.7253157800005034e-05
500   400   4500  2.619778e-01  1.6039052630001997e-05
500   400   5000  2.620201e-01  6.7147915190009435e-06
500   500   900   2.602830e-01  1.4385908300705796e-05
500   500   1000  2.604949e-01  4.138758100095074e-05
500   500   1250  2.608762e-01  0.0005125717410047547
500   500   1500  2.611304e-01  0.0005492111241131306
500   500   1750  2.613120e-01  0.000482180815001594
500   500   2000  2.614482e-01  0.000431455284000775
500   500   2500  2.616388e-01  0.0002829423350001823
500   500   3000  2.617659e-01  0.00015145048280004514
500   500   3500  2.618567e-01  7.289763700001218e-05
500   500   4000  2.619248e-01  3.33415701000038e-05
500   500   4500  2.619778e-01  1.4672712740001366e-05
500   500   5000  2.620201e-01  6.234882880000655e-06
500   600   1250  2.608762e-01  7.335667000075138e-05
500   600   1500  2.611304e-01  0.00029922530114235137
500   600   1750  2.613120e-01  0.0003084734685011712
500   600   2000  2.614482e-01  0.0002748704720006253
500   600   2500  2.616388e-01  0.00020342907770016133
500   600   3000  2.617659e-01  0.00012006657270004034
500   600   3500  2.618567e-01  6.146973990001072e-05
500   600   4000  2.619248e-01  2.9113705980002967e-05
500   600   4500  2.619778e-01  1.3103578250001042e-05
500   600   5000  2.620201e-01  5.6815148600004395e-06
500   700   1250  2.608762e-01  4.670988920103266e-06
500   700   1500  2.611304e-01  7.425017170046804e-05
500   700   1750  2.613120e-01  0.00017757340900969966
500   700   2000  2.614482e-01  0.0001781232327004628
500   700   2500  2.616388e-01  0.00013972071860013884
500   700   3000  2.617659e-01  9.163801210003565e-05
500   700   3500  2.618567e-01  5.0292888080009405e-05
500   700   4000  2.619248e-01  2.490671065000254e-05
500   700   4500  2.619778e-01  1.1530414160000804e-05
500   700   5000  2.620201e-01  5.12589580000029e-06
500   800   1500  2.611304e-01  3.804635500044073e-06
500   800   1750  2.613120e-01  5.9547695800244344e-05
500   800   2000  2.614482e-01  0.00010697961073029188
500   800   2500  2.616388e-01  9.464562630011169e-05
500   800   3000  2.617659e-01  6.731036200003136e-05
500   800   3500  2.618567e-01  4.008535423000819e-05
500   800   4000  2.619248e-01  2.0851875620002192e-05
500   800   4500  2.619778e-01  1.0042387660000653e-05
