mh3   mh4  mh2   mhc   sinp  tanbeta  lap1  lap2  lam3  sinbma  gpxd  mxd  CMS                CMSerr     ATLAS        ATLASerr     CMS/ATLAS
1200  500  1200  1200  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.006132939703     9.718e-06  0.00614291   5.96182e-06  0.998377
1300  100  1300  1300  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0116804548018    1.742e-05  0.011642     2.11926e-05  1.0033
1300  150  1300  1300  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0103606125491    8.461e-06  0.0103353    1.82414e-05  1.00245
1300  200  1300  1300  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0097064068883    1.336e-05  0.00972579   1.79158e-05  0.998007
1300  250  1300  1300  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.007853426705     1.783e-05  0.00783545   1.61402e-05  1.00229
1300  300  1300  1300  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0068908825478    8.446e-06  0.00689135   1.02751e-05  0.999932
1300  350  1300  1300  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.00647755411221   1.359e-05  0.00645873   8.35102e-06  1.00291
1300  400  1300  1300  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0053782899856    6.511e-06  0.0053852    5.62909e-06  0.998717
1300  450  1300  1300  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0047250487671    6.362e-06  0.00471516   4.47012e-06  1.0021
1300  500  1300  1300  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.004153063217     5.276e-06  0.00415004   2.76015e-06  1.00073
1400  100  1400  1400  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0277071707876    3.461e-05  0.0277415    4.68109e-05  0.998763
1400  150  1400  1400  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0204932567504    3.646e-05  0.0204223    3.47741e-05  1.00347
1400  200  1400  1400  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0162047736655    1.761e-05  0.0162574    3.19902e-05  0.996763
1400  250  1400  1400  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0096031154346    1.797e-05  0.00957624   1.74411e-05  1.00281
1400  300  1400  1400  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0066094353106    1.045e-05  0.00661156   1.4031e-05   0.999679
1400  350  1400  1400  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0055267273914    1.582e-05  0.00547681   1.08541e-05  1.00911
1400  400  1400  1400  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0039189641109    2.953e-06  0.00393253   4.6564e-06   0.99655
1400  450  1400  1400  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0032762178703    3.874e-06  0.00327057   3.39504e-06  1.00173
1400  500  1400  1400  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0028766476332    3.702e-06  0.00287113   2.03656e-06  1.00192
1500  100  1500  1500  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0643062579509    7.865e-05  0.0638692    0.000104417  1.00684
1500  150  1500  1500  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0440041836903    3.789e-05  0.0439907    7.41848e-05  1.00031
1500  200  1500  1500  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0318022094976    5.704e-05  0.0318807    4.95202e-05  0.997538
1500  250  1500  1500  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0162268762756    1.562e-05  0.016236     2.84717e-05  0.999438
1500  300  1500  1500  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.00931230846825   1.973e-05  0.00937555   1.58817e-05  0.993255
1500  350  1500  1500  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.007039017925     2.113e-05  0.00706342   1.17714e-05  0.996545
1500  400  1500  1500  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0039872202435    1.054e-05  0.00399116   5.76617e-06  0.999013
1500  450  1500  1500  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0027872749341    3.115e-06  0.00279139   3.37136e-06  0.998526
1500  500  1500  1500  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0022060449586    5.428e-06  0.00221016   2.11028e-06  0.998138
1600  100  1600  1600  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.124757042941     0.0002402  0.124467     0.000180579  1.00233
1600  150  1600  1600  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0831548849952    0.0001004  0.0830833    0.000165637  1.00086
1600  200  1600  1600  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0577912616139    9.469e-05  0.0579       8.02115e-05  0.998122
1600  250  1600  1600  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0284081096643    3.78e-05   0.0284006    5.27961e-05  1.00026
1600  350  1600  1600  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.0113292407689    2.15e-05   0.0114454    1.88639e-05  0.989851
1600  450  1600  1600  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.00328472204915   4.728e-06  0.00327869   3.9953e-06   1.00184
1600  500  1600  1600  0.35  1.0      3.0   3.0   3.0   1.0     1.0   1.0  0.00216763504334   4.622e-06  0.00216677   2.22998e-06  1.0004
